CATEGORY	COLOR	MATERIAL
boots	black	
hats	blue	synthetic
tops	black	
beachwear	black	synthetic
jackets	black	leather
pants	black	cotton
lingerie	pink	
jeans	black	denim
necklaces	black	metal
pants	multicolor	cotton
knitwear	gray	
sneakers	white	leather
clutches	pink	leather
totes	black	leather
rings	metallic	metal
shirts	white	cotton
dresses	natural	synthetic
dresses	green	synthetic
belts	brown	leather
jackets	blue	wool
lingerie	white	cotton
dresses	black	
sneakers	black	rubber
tops	pink	flannel
scarves	blue	silk
wallets	black	
tops	black	synthetic
pants	natural	cotton
tops	green	cotton
skirts	white	cotton
sweats	black	cotton
dresses	yellow	cotton
dresses	blue	linen
flats	brown	
shirts	pink	cotton
nightwear	blue	linen
necklaces	metallic	
t-shirts	blue	cotton
tops	black	synthetic
jeans	blue	denim
bucket bags	black	leather
totes	black	cotton
jeans	blue	denim
tops	natural	
tops	blue	synthetic
t-shirts	pink	synthetic
rings	blue	synthetic
dresses	brown	synthetic
nightwear	brown	satin
nightwear	multicolor	
pants	natural	cotton
beachwear	blue	
hats	green	cotton
jackets	black	wool
scarves	orange	cashmere
boots	multicolor	
skirts	black	
tops	purple	cotton
t-shirts	gray	cotton
jackets	black	synthetic
knitwear	brown	synthetic
shirts	white	
heels	black	leather
tops	blue	cotton
jackets	blue	
knitwear	blue	cashmere
jackets	purple	cotton
belts	white	leather
dresses	natural	synthetic
t-shirts	white	
sneakers	multicolor	suede
sunglasses	blue	
knitwear	natural	
lingerie	blue	synthetic
dresses	gray	silk
lace-ups	black	leather
knitwear	blue	
sweats	blue	cotton
sunglasses	black	
shorts	black	
t-shirts	gray	denim
jumpsuits	green	
coats	brown	suede
belts	natural	leather
sweats	white	
dresses	black	
sweats	green	
tops	blue	
satchels	blue	
underwear	multicolor	synthetic
sneakers	white	rubber
sweats	green	cotton
jackets	blue	
lace-ups	brown	leather
earrings	multicolor	
skirts	black	synthetic
t-shirts	black	
watches	brown	leather
tops	blue	synthetic
tops	black	silk
shirts	blue	cotton
t-shirts	white	cotton
messenger	black	
pants	black	wool
flats	brown	suede
shirts	blue	cotton
dresses	natural	cotton
sneakers	white	synthetic
cases	black	leather
shirts	white	cotton
sneakers	natural	leather
sweats	black	cotton
pants	blue	cotton
pants	red	synthetic
backpacks	gray	
beachwear	pink	synthetic
dresses	brown	
knitwear	gray	wool
dresses	multicolor	silk
backpacks	green	
sweats	blue	
hats	green	
dresses	blue	denim
t-shirts	black	cotton
shirts	red	
lingerie	black	synthetic
coats	black	denim
shorts	black	
necklaces	white	metal
dresses	gray	
sneakers	white	synthetic
sweats	pink	
t-shirts	black	
pants	purple	synthetic
dresses	black	synthetic
t-shirts	white	cotton
shorts	red	cotton
sweats	black	cotton
belt bags	black	synthetic
beachwear	blue	synthetic
dresses	black	
t-shirts	black	cotton
tops	brown	
watches	blue	
knitwear	white	
jackets	black	cotton
t-shirts	pink	cotton
earrings	metallic	
knitwear	black	synthetic
dresses	gray	wool
sneakers	blue	leather
lace-ups	white	suede
sneakers	brown	leather
sweats	gray	fleece
dresses	blue	chiffon
flats	black	rubber
t-shirts	white	cotton
flats	white	rubber
shoulder bags	black	leather
flats	brown	leather
dresses	black	lace
jackets	blue	denim
flats	black	leather
earrings	gray	
slip-ons	green	wool
tops	blue	cotton
pants	black	wool
dresses	red	
tops	orange	
jeans	blue	denim
sneakers	natural	
jeans	blue	denim
sweats	blue	denim
sneakers	green	
t-shirts	blue	cotton
jeans	blue	denim
jeans	blue	denim
dresses	blue	
t-shirts	gray	
underwear	multicolor	synthetic
necklaces	metallic	metal
sneakers	purple	leather
knitwear	black	wool
sweats	black	
earrings	blue	
beachwear	blue	synthetic
sneakers	brown	
pants	gray	
flats	natural	
tops	black	silk
shirts	gray	
skirts	black	synthetic
knitwear	black	wool
jackets	black	denim
sweats	white	
necklaces	metallic	
